"ags","plz","ort","kreis ","bundesland"
10041100,"66111","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66113","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66115","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66117","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66119","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66121","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66123","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66125","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66126","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66127","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66128","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66129","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66130","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66131","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66132","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041100,"66133","Saarbrücken","Regionalverband Saarbrücken","Saarland"
10041511,"66299","Friedrichsthal","Regionalverband Saarbrücken","Saarland"
10041512,"66352","Großrosseln","Regionalverband Saarbrücken","Saarland"
10041513,"66265","Heusweiler","Regionalverband Saarbrücken","Saarland"
10041514,"66271","Kleinblittersdorf","Regionalverband Saarbrücken","Saarland"
10041515,"66346","Püttlingen","Regionalverband Saarbrücken","Saarland"
10041516,"66287","Quierschied","Regionalverband Saarbrücken","Saarland"
10041517,"66292","Riegelsberg","Regionalverband Saarbrücken","Saarland"
10041518,"66280","Sulzbach/Saar","Regionalverband Saarbrücken","Saarland"
10041519,"66333","Völklingen","Regionalverband Saarbrücken","Saarland"
10042111,"66701","Beckingen","Landkreis Merzig-Wadern","Saarland"
10042112,"66679","Losheim am See","Landkreis Merzig-Wadern","Saarland"
10042113,"66663","Merzig","Landkreis Merzig-Wadern","Saarland"
10042114,"66693","Mettlach","Landkreis Merzig-Wadern","Saarland"
10042115,"66706","Perl","Landkreis Merzig-Wadern","Saarland"
10042116,"66687","Wadern","Landkreis Merzig-Wadern","Saarland"
10042117,"66709","Weiskirchen","Landkreis Merzig-Wadern","Saarland"
10043111,"66571","Eppelborn","Landkreis Neunkirchen","Saarland"
10043112,"66557","Illingen","Landkreis Neunkirchen","Saarland"
10043113,"66589","Merchweiler","Landkreis Neunkirchen","Saarland"
10043114,"66538","Neunkirchen","Landkreis Neunkirchen","Saarland"
10043114,"66539","Neunkirchen","Landkreis Neunkirchen","Saarland"
10043114,"66540","Neunkirchen","Landkreis Neunkirchen","Saarland"
10043115,"66564","Ottweiler","Landkreis Neunkirchen","Saarland"
10043116,"66578","Schiffweiler","Landkreis Neunkirchen","Saarland"
10043117,"66583","Spiesen-Elversberg","Landkreis Neunkirchen","Saarland"
10044111,"66763","Dillingen/Saar","Landkreis Saarlouis","Saarland"
10044112,"66822","Lebach","Landkreis Saarlouis","Saarland"
10044113,"66809","Nalbach","Landkreis Saarlouis","Saarland"
10044114,"66780","Rehlingen-Siersburg","Landkreis Saarlouis","Saarland"
10044115,"66740","Saarlouis","Landkreis Saarlouis","Saarland"
10044116,"66793","Saarwellingen","Landkreis Saarlouis","Saarland"
10044117,"66839","Schmelz","Landkreis Saarlouis","Saarland"
10044118,"66773","Schwalbach","Landkreis Saarlouis","Saarland"
10044119,"66802","Überherrn","Landkreis Saarlouis","Saarland"
10044120,"66787","Wadgassen","Landkreis Saarlouis","Saarland"
10044121,"66798","Wallerfangen","Landkreis Saarlouis","Saarland"
10044122,"66359","Bous","Landkreis Saarlouis","Saarland"
10044123,"66806","Ensdorf/Saar","Landkreis Saarlouis","Saarland"
10045111,"66450","Bexbach","Saarpfalz-Kreis","Saarland"
10045112,"66440","Blieskastel","Saarpfalz-Kreis","Saarland"
10045113,"66453","Gersheim","Saarpfalz-Kreis","Saarland"
10045114,"66424","Homburg","Saarpfalz-Kreis","Saarland"
10045115,"66459","Kirkel","Saarpfalz-Kreis","Saarland"
10045116,"66399","Mandelbachtal","Saarpfalz-Kreis","Saarland"
10045117,"66386","Sankt Ingbert","Saarpfalz-Kreis","Saarland"
10046111,"66629","Freisen","Landkreis St. Wendel","Saarland"
10046112,"66646","Marpingen","Landkreis St. Wendel","Saarland"
10046113,"66640","Namborn","Landkreis St. Wendel","Saarland"
10046114,"66625","Nohfelden","Landkreis St. Wendel","Saarland"
10046115,"66620","Nonnweiler","Landkreis St. Wendel","Saarland"
10046116,"66649","Oberthal","Landkreis St. Wendel","Saarland"
10046117,"66606","Sankt Wendel","Landkreis St. Wendel","Saarland"
10046118,"66636","Tholey","Landkreis St. Wendel","Saarland"
11000000,"10115","Berlin",,"Berlin"
11000000,"10117","Berlin",,"Berlin"
11000000,"10119","Berlin",,"Berlin"
11000000,"10178","Berlin",,"Berlin"
11000000,"10179","Berlin",,"Berlin"
11000000,"10243","Berlin",,"Berlin"
11000000,"10245","Berlin",,"Berlin"
11000000,"10247","Berlin",,"Berlin"
11000000,"10249","Berlin",,"Berlin"
11000000,"10315","Berlin",,"Berlin"
11000000,"10317","Berlin",,"Berlin"
11000000,"10318","Berlin",,"Berlin"
11000000,"10319","Berlin",,"Berlin"
11000000,"10365","Berlin",,"Berlin"
